date,species,lat,long
2018/12/24,Ophiophagus hannah,13.6617633,120.8738643
2016/07/14,Ophiophagus hannah,13.4785721,120.820063
2009/06/09,Ophiophagus hannah,15.6853566,121.326654
2009/10/08,Ophiophagus hannah,13.6264036,124.3234025
2009/04/12,Ophiophagus hannah,6.9796446,122.0505845
2016/07/14,Ophiophagus hannah,13.4785721,120.820063
2018/12/24,Ophiophagus hannah,13.6617633,120.8738643
2024/07/17,Ophiophagus hannah,9.6531307,124.0210434
2024/09/25,Ophiophagus hannah,7.1199103,122.1791808
2022/07/30,Naja samarensis,7.6734241,125.9875861
2019/11/30,Naja samarensis,8.9134776,125.5461041
2022/01/20,Naja samarensis,11.7765231,124.3485946
2022/05/02,Naja samarensis,7.3826395,125.808718
2022/05/02,Naja samarensis,7.3784662,125.8081598
2021/12/22,Naja samarensis,8.9134776,125.5461041
2023/02/02,Naja samarensis,8.9463749,125.5350316
2024/04/26,Naja samarensis,7.2670902,125.6650099
2015/10/03,Naja samarensis,7.0738387,125.5862001
2023/05/01,Naja samarensis,9.8708163,124.4291161
2009/02/01,Naja samarensis,9.818056,124.155
2022/05/02,Naja samarensis,7.3826395,125.808718
2020/06/05,Naja samarensis,8.3957656,124.2863115
2019/04/10,Naja samarensis,8.2928722,124.9876531
2022/05/02,Naja samarensis,7.3493823,125.7927303
2022/04/01,Naja samarensis,7.0394755,122.0294403
2024/05/06,Naja samarensis,9.8196011,124.495277
2024/06/25,Naja samarensis,9.9740201,124.5660882
2020/11/24,Naja samarensis,7.1700574,125.3731981
2022/05/02,Naja samarensis,7.3826395,125.808718
2022/05/02,Naja samarensis,7.3826395,125.808718
2023/11/19,Naja samarensis,7.1485828,124.2795867
2024/07/28,Naja samarensis,8.5319779,126.0676889
2022/04/30,Naja samarensis,7.3784662,125.8081598
2024/04/28,Naja samarensis,7.3493823,125.7927303
2007/10/13,Naja samarensis,11.8294309,125.2764957
2009/10/15,Naja samarensis,7.1429194,125.477996
2023/02/25,Naja samarensis,6.6735002,124.2847815
2015/10/03,Naja samarensis,7.0738387,125.5862001
2016/08/07,Naja samarensis,7.050422,125.5407837
2009/02/01,Naja samarensis,9.818056,124.155
2019/04/10,Naja samarensis,8.2928722,124.9876531
2019/11/30,Naja samarensis,8.9134776,125.5461041
2020/04/04,Naja samarensis,7.466205,125.8177109
2020/06/05,Naja samarensis,8.3957656,124.2863115
2020/11/24,Naja samarensis,7.1700574,125.3731981
2021/05/09,Naja samarensis,7.183755,125.5390384
2021/12/13,Naja samarensis,8.4869499,124.6277261
2021/12/22,Naja samarensis,8.9134776,125.5461041
2021/12/17,Naja samarensis,9.8467264,124.2277223
2022/01/20,Naja samarensis,11.7765231,124.3485946
2022/04/01,Naja samarensis,7.0394755,122.0294403
2022/04/29,Naja samarensis,7.4243343,125.8267362
