barangay_psgc,predicted_abundance,HSI
102802046,0.0030931348,0.3807081
102804012,0.00064460625,0.035239503
102805018,0.0025709644,0.30703384
102809016,0.0022593495,0.26306736
102812061,0.0035674202,0.44762617
102812062,0.002293298,0.26785725
102812084,0.0021212625,0.24358438
102817019,0.001275863,0.124304995
102818010,0.004156095,0.53068364
102820023,0.0017089604,0.1854117
102821020,0.0026763445,0.32190216
102823050,0.0033758145,0.42059207
102902015,0.0012474095,0.12029041
102905026,0.0019488761,0.21926196
102906039,0.0015977239,0.1697171
102908002,0.0012671355,0.12307361
102909005,0.0042714467,0.5469589
102910008,0.00039897737,0.0005831495
102914030,0.0025701746,0.30692244
102916017,0.0004932621,0.013885997
102918006,0.0016612979,0.17868689
102924013,0.0016943935,0.18335643
102924032,0.0015919979,0.1689092
102926005,0.0022245403,0.25815606
102929001,0.0018167467,0.20061953
102930002,0.0021234388,0.24389143
102934003,0.002361843,0.2775284
102934040,0.0021147144,0.24266048
103302010,0.0032143618,0.3978123
103311039,0.002071757,0.23659955
103314007,0.00040768483,0.0018117055
103319010,0.0012447285,0.11991215
105502011,0.0039593666,0.50292677
105503021,0.0033853448,0.4219367
105509013,0.0032370966,0.40102
105513026,0.00426552,0.54612267
105514011,0.0032894132,0.4084015
105517019,0.0027627354,0.33409125
105523016,0.002633059,0.31579494
105524062,0.0032890462,0.4083497
105527070,0.002741146,0.33104515
105528014,0.002387109,0.2810933
105529011,0.0015482333,0.16273436
105532016,0.0048315185,0.62598073
105532078,0.0074824016,1.0
105535001,0.0028810457,0.35078394
105536020,0.0011826744,0.11115679
105537023,0.0015432589,0.1620325
105538028,0.001680797,0.18143806
105539015,0.0023951256,0.28222436
105541006,0.0014423642,0.14779703
105541024,0.0017702316,0.19405662
105542011,0.0019683845,0.22201447
105542014,0.0029610333,0.3620696
105543005,0.0020437196,0.23264368
105544047,0.0021244148,0.24402915
105546027,0.0031288383,0.38574558
105546032,0.0028828548,0.35103923
105547002,0.003661122,0.46084672
201501007,0.0016335767,0.17477565
201505020,0.0014702264,0.15172818
201507008,0.0017021162,0.18444605
201511008,0.0014237585,0.1451719
201513052,0.0021479914,0.24735563
201519017,0.0015878917,0.16832985
201520019,0.00040574608,0.0015381649
201528032,0.0013526565,0.13513997
201529013,0.003739645,0.47192574
201529018,0.001462091,0.15058033
201529024,0.00043083524,0.0050780512
203101002,0.0031486559,0.3885417
203103027,0.0014399785,0.14746043
203105004,0.0021261976,0.24428068
203106018,0.0005123854,0.01658415
203107021,0.0013580557,0.13590175
203109007,0.0012521708,0.1209622
203112066,0.0016169277,0.1724266
203114067,0.001277247,0.12450026
203114100,0.001311873,0.12938572
203119007,0.00039895118,0.000579454
203120013,0.00040692821,0.0017049536
203123014,0.0016496674,0.17704593
203127008,0.0015076991,0.1570153
203131024,0.005260291,0.68647724
203131029,0.0015848433,0.16789973
203132019,0.002593776,0.31025243
203134012,0.0023421508,0.27475
203135025,0.0014189843,0.1444983
203137031,0.0017790175,0.19529624
205004011,0.004941904,0.64155525
205004012,0.002755811,0.33311433
205005017,0.0012022672,0.113921195
205005021,0.0012218257,0.11668074
205007019,0.0003989414,0.00057807565
205008018,0.0003989414,0.00057807565
205011001,0.00220659,0.25562346
205013013,0.001453654,0.14938994
205013014,0.0015800638,0.16722539
205013021,0.0017284857,0.18816657
205701005,0.001264519,0.12270445
205703001,0.0003989414,0.00057807565
205704038,0.0025918218,0.3099767
300802016,0.001311261,0.12929937
300803005,0.0014876181,0.154182
300803013,0.0015347559,0.16083279
300803020,0.0030559658,0.37546384
300806009,0.0012172234,0.11603138
300807001,0.0018856333,0.2103389
300807008,0.0015580796,0.1641236
300809016,0.0015148469,0.15802379
300810001,0.0016651488,0.17923023
300812004,0.0031540128,0.38929754
301401014,0.0012599867,0.12206496
301407021,0.00260609,0.31198978
301408010,0.002281626,0.26621044
301412020,0.00241235,0.28465456
301413022,0.0004250353,0.004259728
301414009,0.0026961374,0.3246948
301415016,0.0014009351,0.14195171
301418003,0.0011864634,0.111691386
301419026,0.0024244708,0.28636473
301419033,0.001694109,0.1833163
301420009,0.003030028,0.37180424
301420062,0.0015529703,0.16340269
301421037,0.0015590546,0.16426115
301423016,0.00148669,0.15405107
301423017,0.003944189,0.5007853
301424004,0.0015903431,0.16867572
301424006,0.0029275566,0.3573463
304901021,0.0023218042,0.27187926
304902021,0.001774754,0.19469468
304903046,0.0028950307,0.35275716
304903077,0.004610386,0.5947807
304905030,0.0012873663,0.12592801
304905053,0.0017186168,0.18677415
304906018,0.0028456573,0.34579092
304907004,0.0016031043,0.17047623
304908013,0.0023001477,0.26882368
304909019,0.0022025926,0.25505942
304909020,0.006774643,0.9001407
304910017,0.0012016628,0.113835916
304911007,0.0035322588,0.44266516
304911060,0.0024353159,0.2878949
304913016,0.0025327357,0.3016401
304913020,0.0021237351,0.24393325
304914004,0.0025037609,0.29755193
304916003,0.0026938766,0.3243758
304916021,0.0017459292,0.19062772
304917029,0.002453973,0.29052728
304919020,0.0035644153,0.4472022
304920012,0.0017214044,0.18716747
304926019,0.0017861116,0.19629715
304926024,0.0020187974,0.22912733
304926035,0.0018085133,0.19945787
304926039,0.0019604072,0.22088893
304932004,0.002910762,0.3549767
305403018,0.001907487,0.21342228
305404003,0.0026205278,0.3140269
305405029,0.0033142986,0.41191262
305406023,0.0016387098,0.17549989
305407004,0.002613045,0.31297112
305408021,0.0013011068,0.12786669
305409005,0.0019777718,0.22333892
305413013,0.0021131346,0.24243759
305413024,0.0020844934,0.23839654
305415031,0.0025868495,0.30927515
305416001,0.0048444653,0.62780744
305416010,0.0025306554,0.30134654
305416027,0.00346524,0.4332093
305419004,0.0023369892,0.27402174
306901013,0.0014712174,0.15186799
306902010,0.0015461507,0.16244051
306904007,0.0027952234,0.33867508
306904008,0.0022102392,0.25613832
306904021,0.0015681058,0.1655382
306905035,0.004339612,0.5565765
306906029,0.002826297,0.3430593
306907019,0.002742262,0.33120263
306909020,0.0029658412,0.36274797
306910016,0.0039014842,0.49476004
306911013,0.0019643912,0.22145103
306915021,0.001497544,0.15558247
306916046,0.0026373905,0.31640607
306918004,0.001265874,0.12289561
306918005,0.0047154296,0.6096015
306918013,0.0012385625,0.11904217
307101022,0.0026780742,0.32214624
307101032,0.0035752798,0.44873506
307103015,0.0016808978,0.18145229
307104011,0.0022962354,0.26827168
307105003,0.001570071,0.16581547
307106006,0.0005353787,0.019828334
307109014,0.0012423747,0.119580045
307111017,0.0015833977,0.16769578
307111019,0.0016885254,0.1825285
307113024,0.0017340534,0.18895213
307114004,0.0023255183,0.2724033
307701009,0.0003989414,0.00057807565
307701010,0.0012536746,0.12117438
307707006,0.0012466373,0.12018147
307707025,0.001176876,0.11033869
307707031,0.0016176542,0.17252912
330100003,0.0019131639,0.21422325
330100021,0.0025222558,0.30016142
331400006,0.000399382,0.00064023957
401002015,0.002894915,0.35274082
